PersonID,Age,Income,Home,EmpLength,Intent,Grade,Amount,Rate,Status,PercentIncome,DefaultHist,CredHist,Age_Group,Income_Group,Loan_Burden
PER_00003,25,9600.0,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1,0.57,N,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00004,23,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,1,0.53,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00006,21,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,0.25,N,2,18-25,LOW INCOME,WARNING (20-30%)
PER_00007,26,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,1,0.45,N,3,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00008,24,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,1,0.44,N,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00012,21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,0.45,N,2,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00013,23,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,1,0.37,N,2,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00014,26,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,1,0.32,N,4,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00015,23,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0,0.3,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00017,23,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0,0.29,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00021,25,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,0,0.22,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00023,22,65000.0,RENT,4.0,EDUCATION,D,34000.0,17.58,1,0.52,N,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00024,24,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0,0.14,N,3,18-25,LOW INCOME,SAFE (<20%)
PER_00025,22,80000.0,RENT,3.0,PERSONAL,D,33950.0,14.54,1,0.42,Y,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00027,21,11000.0,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,1,0.42,Y,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00028,23,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0,0.13,N,3,18-25,LOW INCOME,SAFE (<20%)
PER_00029,24,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,1,0.5,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00032,25,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,0,0.27,N,2,18-25,HIGH INCOME,WARNING (20-30%)
PER_00033,26,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,1,0.33,Y,3,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00034,25,306000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0,0.08,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00037,22,48000.0,RENT,1.0,EDUCATION,E,30000.0,18.39,1,0.63,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00039,25,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,1,0.4,Y,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00040,23,71500.0,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,15.31,1,0.42,N,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00041,26,62050.0,RENT,6.0,MEDICAL,E,30000.0,17.99,1,0.41,N,2,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00042,24,12000.0,OWN,4.0,VENTURE,B,2500.0,12.69,1,0.21,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00044,23,300000.0,OWN,1.0,EDUCATION,F,24250.0,19.41,0,0.08,Y,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00046,26,300000.0,MORTGAGE,0.0,EDUCATION,D,25000.0,15.33,0,0.08,N,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00048,26,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,1,0.37,N,3,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00049,22,66300.0,RENT,4.0,MEDICAL,B,30000.0,12.69,1,0.38,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00050,26,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,1,0.34,N,3,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00051,24,78000.0,RENT,4.0,DEBTCONSOLIDATION,D,30000.0,15.31,1,0.38,Y,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00056,26,280000.0,RENT,4.0,PERSONAL,C,10000.0,15.96,0,0.04,Y,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00057,26,277104.0,RENT,0.0,VENTURE,B,20000.0,11.48,0,0.07,N,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00058,23,277000.0,OWN,3.0,PERSONAL,A,35000.0,7.49,0,0.13,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00060,24,12000.0,OWN,2.0,VENTURE,E,1750.0,16.795,0,0.15,Y,3,18-25,LOW INCOME,SAFE (<20%)
PER_00063,26,263000.0,MORTGAGE,0.0,EDUCATION,B,10000.0,10.99,1,0.04,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00070,25,250000.0,RENT,2.0,MEDICAL,C,25000.0,13.49,0,0.1,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00071,25,12000.0,OWN,0.0,MEDICAL,C,3000.0,13.48,1,0.25,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00074,23,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,1,0.43,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00075,26,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,1,0.33,N,3,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00076,26,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,1,0.51,N,3,26-40,LOW INCOME,HIGH RISK (>30%)
PER_00080,24,83004.0,RENT,0.0,VENTURE,D,28000.0,15.99,1,0.34,Y,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00081,24,250000.0,RENT,2.0,EDUCATION,C,18000.0,12.98,0,0.07,Y,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00083,25,100000.0,RENT,5.0,DEBTCONSOLIDATION,B,28000.0,12.69,0,0.28,N,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00085,26,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,7.49,1,0.23,N,4,26-40,LOW INCOME,WARNING (20-30%)
PER_00088,24,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,7.49,1,0.4,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00090,22,70000.0,RENT,4.0,EDUCATION,C,27500.0,13.06,1,0.39,Y,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00092,26,73200.0,RENT,5.0,VENTURE,D,27050.0,15.62,1,0.37,Y,2,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00093,24,83000.0,RENT,5.0,PERSONAL,C,27000.0,13.49,1,0.33,Y,2,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00094,24,73399.0,RENT,0.0,VENTURE,D,27000.0,15.31,1,0.37,N,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00096,23,120000.0,RENT,1.0,EDUCATION,B,25600.0,12.69,0,0.21,N,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00097,24,12360.0,OWN,2.0,MEDICAL,C,1600.0,13.57,0,0.13,N,3,18-25,LOW INCOME,SAFE (<20%)
PER_00098,22,60000.0,RENT,0.0,VENTURE,B,25475.0,10.99,1,0.42,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00099,25,234000.0,MORTGAGE,3.0,MEDICAL,C,20000.0,14.27,0,0.09,Y,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00102,25,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900.0,14.42,1,0.05,Y,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00103,26,232500.0,MORTGAGE,0.0,MEDICAL,C,25000.0,14.17,0,0.11,Y,2,26-40,HIGH INCOME,SAFE (<20%)
PER_00104,25,230000.0,MORTGAGE,5.0,MEDICAL,C,35000.0,13.99,0,0.15,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00107,25,12600.0,OWN,3.0,PERSONAL,C,1750.0,13.61,0,0.14,N,3,18-25,LOW INCOME,SAFE (<20%)
PER_00108,21,42500.0,RENT,3.0,EDUCATION,C,25000.0,12.73,1,0.59,Y,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00109,24,41000.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,15.31,1,0.61,N,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00110,25,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000.0,12.87,1,0.23,Y,4,18-25,LOW INCOME,WARNING (20-30%)
PER_00111,24,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,1,0.28,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00112,26,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000.0,11.49,0,0.09,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00113,25,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000.0,19.91,0,0.13,Y,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00114,26,213000.0,MORTGAGE,6.0,EDUCATION,B,35000.0,10.65,1,0.16,N,2,26-40,HIGH INCOME,SAFE (<20%)
